0.23304178546914397,
0.2564654499289232,
0.4369550281413539,
-0.11551527540200737,
0.29974203756443524,
-0.13989394932518529,
0.05499287801076312,
-0.24970677305519934,
0.23269759139590535,
-0.08066341680463271,
0.4651219554696192,
0.14816470598176879,
0.22948080371849477,
-0.06045006629780414,
0.32691012340186204,
0.7986174689829029,
0.0016985277996695025,
-0.2787386965139852,
-0.6861555901824349,
0.04943468372513747,
-0.19802992884188653,
-1.281688942910304,
-0.5095140748684872,
0.27060984404476135,
