2.0495222088968537,
0.3513191571550238,
0.7145938036246626,
-0.18121742420572115,
-0.47771291455018894,
0.4320749848660871,
0.2961470116778018,
-0.009487571565513886,
0.05445686995972528,
0.05479598907290484,
-0.2637735929319371,
0.42885936024936055,
-0.04315148495005661,
-0.09067938644572233,
0.03965305596163826,
-0.18768857375651893,
-0.5210015623317651,
0.02789516618875032,
0.5117888898552574,
-0.704418190686788,
0.23905803010117646,
0.07103854647517326,
-0.8432898446670357,
0.2550004596254929,
